City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
255,zhezkazgan,47.8043,67.7144,27.28,98,100,6.35,KZ,1675617287
256,bure,10.7,37.0667,66.33,22,85,5.06,ET,1675617287
257,zuwarah,32.9312,12.082,59.02,69,81,12.66,LY,1675617288
258,xihua,33.7833,114.5167,43.36,66,97,4.12,CN,1675617288
259,sibu,2.3,111.8167,73.69,99,94,1.36,MY,1675617288
260,sao jose da coroa grande,-8.8978,-35.1478,83.86,68,35,9.17,BR,1675617289
261,kovdor,67.5662,30.4758,6.64,97,97,2.62,RU,1675617289
262,cavalcante,-13.7975,-47.4583,83.77,53,7,4.79,BR,1675617289
263,palu,-0.8917,119.8707,75.52,92,97,2.24,ID,1675617290
264,zabaykalsk,49.6333,117.3167,-10.32,100,59,6.26,RU,1675617290
265,portobelo,9.55,-79.65,81.1,78,54,14.65,PA,1675617290
266,balancan,17.8,-91.5333,75.87,79,31,0.38,MX,1675617136
267,kedrovyy,56.1667,91.8167,-8.14,100,100,2.73,RU,1675617291
268,reitz,-27.8014,28.4273,64.63,71,69,9.33,ZA,1675617291
269,daye,30.0833,114.95,50.68,85,99,1.16,CN,1675617292
270,mayskiy,47.6931,40.1025,31.41,90,100,12.06,RU,1675617292
271,mzimba,-11.9,33.6,64.09,97,95,3.98,MW,1675617292
272,tibati,6.4667,12.6333,86.77,12,93,7.85,CM,1675617293
273,sola,-13.8833,167.55,83.32,72,100,22.73,VU,1675617293
274,vila velha,-20.3297,-40.2925,93.15,68,20,13.8,BR,1675617294
275,naryan-mar,67.6713,53.087,-1.07,99,99,6.2,RU,1675617294
276,micheweni,-4.9667,39.8333,80.37,77,11,13.31,TZ,1675617294
277,padang,-0.9492,100.3543,71.65,80,100,3.49,ID,1675617295
278,kavali,14.9167,79.9833,73.42,76,69,8.14,IN,1675617295
279,maiduguri,11.8464,13.1603,84.15,14,100,9.26,NG,1675617295
280,siderno,38.2779,16.302,41.34,44,1,10.65,IT,1675617296
281,khudumelapye,-23.8833,24.75,81.95,42,41,4.47,BW,1675617296
282,geraldton,-28.7667,114.6,73.81,73,100,10.36,AU,1675617297
283,turkmenabat,39.0733,63.5786,43.68,51,100,8.7,TM,1675617297
284,marsabit,2.3284,37.9899,74.75,29,77,9.46,KE,1675617297
285,aykhal,66.0,111.5,-36.8,100,56,2.86,RU,1675617298
286,madera,37.1666,-119.8343,52.2,96,40,2.86,US,1675617298
287,tatawin,32.9297,10.4518,54.73,55,20,8.99,TN,1675617299
288,turki,51.987,43.2731,12.09,98,64,4.85,RU,1675617299
289,north bend,43.4065,-124.2243,46.85,100,100,8.05,US,1675617299
290,xining,36.6167,101.7667,25.29,54,6,2.21,CN,1675617300
291,aitape,-3.1374,142.3475,78.33,88,100,2.71,PG,1675617300
292,canoa,18.355,-71.1585,87.51,62,40,17.27,DO,1675617300
293,srednekolymsk,67.45,153.6833,-34.6,100,100,6.38,RU,1675617301
294,yashkul,46.1711,45.3435,30.4,81,52,9.1,RU,1675617303
295,capelinha,-17.6914,-42.5158,81.3,57,37,4.0,BR,1675617305
296,cao bang,22.6667,106.25,62.08,99,100,2.19,VN,1675617306
297,alofi,-19.0595,-169.9187,80.98,73,100,12.91,NU,1675617310
298,gualaquiza,-3.4,-78.55,75.45,68,72,3.8,EC,1675617312
299,kahului,20.8947,-156.47,73.85,90,20,17.0,US,1675617313
300,riyadh,24.6877,46.7219,66.34,35,6,6.76,SA,1675617215
301,bowen,-20.0167,148.2333,81.45,84,35,11.95,AU,1675617314
302,iralaya,15.0,-83.2333,81.28,63,1,10.36,HN,1675617315
303,olafsvik,64.8945,-23.7142,43.5,91,93,23.55,IS,1675617316
304,ruteng,-8.6136,120.4721,62.87,94,100,2.06,ID,1675617318
305,cap malheureux,-19.9842,57.6142,80.47,77,73,5.01,MU,1675617319
306,cockburn town,21.4612,-71.1419,77.31,77,5,20.65,TC,1675617323
307,lexington,37.9887,-84.4777,52.92,44,0,21.85,US,1675616602
308,hasaki,35.7333,140.8333,36.0,78,88,10.22,JP,1675617325
309,mecca,21.4267,39.8261,74.57,54,52,7.7,SA,1675617045
310,boo,59.3333,18.2833,29.77,94,40,5.75,SE,1675617329
311,muzhi,65.3667,64.6667,-2.72,97,45,4.52,RU,1675617331
312,seoul,37.5683,126.9778,29.64,76,10,2.17,KR,1675617296
313,kiama,-34.6833,150.8667,71.01,80,98,5.99,AU,1675617332
314,iqaluit,63.7506,-68.5145,-20.31,68,100,20.71,CA,1675617333
315,henties bay,-22.116,14.2845,65.73,82,91,7.29,NA,1675617266
316,kiri buru,22.0833,85.35,63.46,22,0,1.05,IN,1675617333
317,muzaffarabad,34.37,73.4711,53.01,62,98,4.14,PK,1675617335
318,haines junction,60.7522,-137.5108,10.35,85,97,1.14,CA,1675617335
319,northam,51.0333,-4.2167,46.26,80,90,6.08,GB,1675617335
320,trabzon,40.9167,39.8333,41.09,71,75,5.75,TR,1675617336
321,eganville,45.5334,-77.0994,32.97,99,100,6.96,CA,1675617336
322,white center,47.5173,-122.3549,45.64,93,100,5.01,US,1675617337
323,cervo,43.6702,-7.4101,53.96,76,56,24.4,ES,1675617337
324,mogwase,-25.185,27.2665,79.9,37,87,3.87,ZA,1675617337
325,namibe,-15.1961,12.1522,73.92,73,59,8.9,AO,1675617338
326,lagoa,39.05,-27.9833,59.52,84,79,20.56,PT,1675617338
327,bhinmal,25.0,72.25,67.96,29,0,9.24,IN,1675617338
328,fare,-16.7,-151.0167,81.05,75,19,14.61,PF,1675617339
329,jiuquan,39.7432,98.5174,26.6,42,4,2.75,CN,1675617339
330,nikolskoye,59.7035,30.7861,20.91,84,100,7.38,RU,1675617339
331,bani walid,31.7566,13.9942,55.65,67,63,16.11,LY,1675617340
332,aktash,50.3,87.7333,-1.79,95,99,3.42,RU,1675617340
333,kirovskiy,45.0917,133.5136,-0.38,100,97,2.26,RU,1675617340
334,ansalta,42.6894,46.1178,25.2,80,49,3.8,RU,1675617341
335,svetlyy,54.675,20.1347,28.45,87,93,1.95,RU,1675617341
336,mehamn,71.0357,27.8492,24.75,80,0,13.8,NO,1675617342
337,devonport,-41.1667,146.35,48.09,80,71,10.36,AU,1675617342
338,freeport,40.6576,-73.5832,44.02,52,0,12.66,US,1675617211
339,chicama,-7.8447,-79.1469,75.74,54,28,10.63,PE,1675617343
340,aswan,24.0934,32.907,65.23,21,37,1.5,EG,1675617183
341,kruisfontein,-34.0033,24.7314,77.88,74,12,15.43,ZA,1675617343
342,capitao poco,-1.7464,-47.0594,83.59,76,100,7.23,BR,1675617344
343,mahanoro,-19.9,48.8,75.15,91,100,5.44,MG,1675617344
344,salinopolis,-0.6136,-47.3561,82.09,79,87,10.8,BR,1675617346
345,colesberg,-30.72,25.0972,81.09,30,73,4.61,ZA,1675617346
346,bastos,-21.9219,-50.7339,80.38,69,98,7.67,BR,1675617181
347,wismar,53.9,11.4667,34.48,82,82,1.01,DE,1675617347
348,casas grandes,30.3667,-107.95,62.33,16,0,2.93,MX,1675617347
349,imbituba,-28.24,-48.6703,81.16,58,26,9.44,BR,1675617347
350,charters towers,-20.1,146.2667,74.77,96,100,7.78,AU,1675617348
351,lasa,46.6166,10.7002,33.69,93,20,6.98,IT,1675617348
352,businga,3.3333,20.8833,86.74,23,38,1.39,CD,1675617349
353,gamba,-2.65,10.0,80.01,79,76,8.86,GA,1675617349
354,pierre,44.3683,-100.351,40.12,60,0,0.0,US,1675617349
355,vallenar,-28.5708,-70.7581,87.12,30,0,9.44,CL,1675617350
356,saint-joseph,-21.3667,55.6167,79.18,85,87,10.74,RE,1675617350
357,santa cruz del sur,20.7147,-77.9956,82.89,54,2,9.6,CU,1675617351
358,biak,-0.9131,122.8766,75.83,83,86,5.73,ID,1675617351
359,half moon bay,37.4636,-122.4286,53.87,88,75,11.5,US,1675617352
360,ugoofaaru,5.6667,73.0,80.98,75,100,4.61,MV,1675617352
361,ransang,8.9603,117.5828,77.36,86,89,3.94,PH,1675617352
362,lachi,33.3833,71.3386,60.48,46,72,3.56,PK,1675617353
363,sumenep,-7.0167,113.8667,78.22,87,100,5.32,ID,1675617353
364,bathsheba,13.2167,-59.5167,84.81,65,40,24.16,BB,1675617354
365,melo,-32.3667,-54.1833,83.75,37,84,6.76,UY,1675617354
366,rio grande,-32.035,-52.0986,73.51,71,66,14.27,BR,1675617354
